,LegislativeBody,Name ,Link,State ,Party ,account
227,house,"Fitzgerald, Scott",https://twitter.com/RepFitzgerald,WI,R,RepFitzgerald
228,house,"Fitzpatrick, Brian",https://twitter.com/RepBrianFitz,PA,R,RepBrianFitz
229,house,"Fleischmann, Chuck",https://twitter.com/RepChuck,TN,R,RepChuck
230,house,"Fletcher, Lizzie",https://twitter.com/RepFletcher,TX,D,RepFletcher
231,house,"Flood, Mike",https://twitter.com/USRepMikeFlood,NE,R,USRepMikeFlood
232,house,"Foster, Bill",https://twitter.com/RepBillFoster,IL,D,RepBillFoster
233,house,"Foushee, Valerie",https://twitter.com/ValerieFoushee,NC,D,ValerieFoushee
234,house,"Foxx, Virginia",https://twitter.com/virginiafoxx,NC,R,virginiafoxx
235,house,"Frankel, Lois",https://twitter.com/RepLoisFrankel,FL,D,RepLoisFrankel
236,house,"Franklin, C. Scott",https://twitter.com/RepFranklin,FL,R,RepFranklin
237,house,"Frost, Maxwell",https://twitter.com/RepMaxwellFrost,FL,D,RepMaxwellFrost
238,house,"Fry, Russell",https://twitter.com/RepRussellFry,SC,R,RepRussellFry
239,house,"Fulcher, Russ",https://twitter.com/RepRussFulcher,ID,R,RepRussFulcher
240,house,"Gaetz, Matt",https://twitter.com/RepMattGaetz,FL,R,RepMattGaetz
241,house,"Gallagher, Mike",https://twitter.com/RepGallagher,WI,R,RepGallagher
242,house,"Gallego, Ruben",https://twitter.com/RepRubenGallego,AZ,D,RepRubenGallego
243,house,"Garamendi, John",https://twitter.com/RepGaramendi,CA,D,RepGaramendi
244,house,"Garbarino, Andrew",https://twitter.com/RepGarbarino,NY,R,RepGarbarino
245,house,"García, Jesús ""Chuy""",https://twitter.com/RepChuyGarcia,IL,D,RepChuyGarcia
246,house,"Garcia, Mike",https://twitter.com/RepMikeGarcia,CA,R,RepMikeGarcia
247,house,"Garcia, Robert",https://twitter.com/RepRobertGarcia,CA,D,RepRobertGarcia
248,house,"Garcia, Sylvia",https://twitter.com/RepSylviaGarcia,TX,D,RepSylviaGarcia
249,house,"Gimenez, Carlos ",https://twitter.com/RepCarlos,FL,R,RepCarlos
250,house,"Golden, Jared",https://twitter.com/RepGolden,ME,D,RepGolden
251,house,"Goldman, Daniel",https://twitter.com/RepDanGoldman,NY,D,RepDanGoldman
252,house,"Gomez, Jimmy",https://twitter.com/RepJimmyGomez,CA,D,RepJimmyGomez
253,house,"Gonzales, Tony",https://twitter.com/RepTonyGonzales,TX,R,RepTonyGonzales
254,house,"Gonzalez, Vicente",https://twitter.com/RepGonzalez,TX,D,RepGonzalez
255,house,"González-Cólón, Jenniffer",https://twitter.com/RepJenniffer,PR,R,RepJenniffer
256,house,"Good, Bob",https://twitter.com/RepBobGood,VA,R,RepBobGood
257,house,"Gooden, Lance",https://twitter.com/Lancegooden,TX,R,Lancegooden
258,house,"Gosar, Paul ",https://twitter.com/RepGosar,AZ,R,RepGosar
259,house,"Gottheimer, Josh",https://twitter.com/RepJoshG,NJ,D,RepJoshG
260,house,"Granger, Kay",https://twitter.com/RepKayGranger,TX,R,RepKayGranger
261,house,"Graves, Garret",https://twitter.com/RepGarretGraves,LA,R,RepGarretGraves
262,house,"Graves, Sam",https://twitter.com/RepSamGraves,MO,R,RepSamGraves
263,house,"Green, Al",https://twitter.com/RepAlGreen,TX,D,RepAlGreen
264,house,"Green, Mark",https://twitter.com/RepMarkGreen,TN,R,RepMarkGreen
265,house,"Greene, Marjorie Taylor",https://twitter.com/RepMTG,GA,R,RepMTG
266,house,"Griffith, Morgan",https://twitter.com/RepMGriffith,VA,R,RepMGriffith
267,house,"Grijalva, Raul",https://twitter.com/RepRaulGrijalva,AZ,D,RepRaulGrijalva
268,house,"Grothman, Glenn",https://twitter.com/RepGrothman,WI,R,RepGrothman
269,house,"Guest, Michael",https://twitter.com/RepMichaelGuest,MS,R,RepMichaelGuest
270,house,"Guthrie, S. Brett",https://twitter.com/RepGuthrie,KY,R,RepGuthrie
271,house,"Hageman, Harriet",https://twitter.com/RepHageman,WY,R,RepHageman
272,house,"Harder, Josh",https://twitter.com/RepJoshHarder,CA,D,RepJoshHarder
273,house,"Harris, Andy",https://twitter.com/RepAndyHarrisMD,MD,R,RepAndyHarrisMD
274,house,"Harshbarger, Diana",https://twitter.com/RepHarshbarger,TN,R,RepHarshbarger
275,house,"Hayes, Jahana",https://twitter.com/RepJahanaHayes,CT,D,RepJahanaHayes
276,house,"Hern, Kevin",https://twitter.com/repkevinhern,OK,R,repkevinhern
277,house,"Higgins, Brian",https://twitter.com/RepBrianHiggins,NY,D,RepBrianHiggins
278,house,"Higgins, Clay",https://twitter.com/RepClayHiggins,LA,R,RepClayHiggins
279,house,"Hill, J. French",https://twitter.com/RepFrenchHill,AR,R,RepFrenchHill
280,house,"Himes, Jim",https://twitter.com/jahimes,CT,D,jahimes
281,house,"Hinson, Ashley",https://twitter.com/RepAshleyHinson,IA,R,RepAshleyHinson
282,house,"Horsford, Steven",https://twitter.com/RepHorsford,NV,D,RepHorsford
283,house,"Houchin, Erin",https://twitter.com/RepHouchin,IN,R,RepHouchin
284,house,"Houlahan, Chrissy",https://twitter.com/RepHoulahan,PA,D,RepHoulahan
285,house,"Hoyer, Steny",https://twitter.com/RepStenyHoyer,MD,D,RepStenyHoyer
286,house,"Hoyle, Val",https://twitter.com/RepValHoyle,OR,D,RepValHoyle
287,house,"Hudson, Richard",https://twitter.com/RepRichHudson,NC,R,RepRichHudson
288,house,"Huffman, Jared",https://twitter.com/RepHuffman,CA,D,RepHuffman
289,house,"Huizenga, Bill",https://twitter.com/RepHuizenga,MI,R,RepHuizenga
290,house,"Hunt, Wesley",https://twitter.com/RepWesleyHunt,TX,R,RepWesleyHunt
291,house,"Issa, Darrell",https://twitter.com/repdarrellissa,CA,R,repdarrellissa
292,house,"Ivey, Glenn",https://twitter.com/RepGlennIvey,MD,D,RepGlennIvey
293,house,"Jackson, Jeff",https://twitter.com/RepJeffJackson,NC,D,RepJeffJackson
294,house,"Jackson, Jonathan",https://twitter.com/rep_jackson,IL,D,rep_jackson
295,house,"Jackson, Ronny",https://twitter.com/RepRonnyJackson,TX,R,RepRonnyJackson
296,house,"Jackson Lee, Sheila",https://twitter.com/JacksonLeeTX18,TX,D,JacksonLeeTX18
297,house,"Jacobs, Sara",https://twitter.com/RepSaraJacobs,CA,D,RepSaraJacobs
298,house,"James, John",https://twitter.com/RepJames,MI,R,RepJames
299,house,"Jayapal, Pramila",https://twitter.com/RepJayapal,WA,D,RepJayapal
300,house,"Jeffries, Hakeem",https://twitter.com/RepJeffries,NY,D,RepJeffries
301,house,"Johnson, Bill",https://twitter.com/RepBillJohnson,OH,R,RepBillJohnson
302,house,"Johnson, Dusty",https://twitter.com/RepDustyJohnson,SD,R,RepDustyJohnson
303,house,"Johnson, Henry C. ""Hank"" Jr.",https://twitter.com/RepHankJohnson,GA,D,RepHankJohnson
304,house,"Johnson, Mike",https://twitter.com/RepMikeJohnson,LA,R,RepMikeJohnson
305,house,"Jordan, Jim",https://twitter.com/Jim_Jordan,OH,R,Jim_Jordan
306,house,"Joyce, David",https://twitter.com/RepDaveJoyce,OH,R,RepDaveJoyce
307,house,"Joyce, John",https://twitter.com/RepJohnJoyce,PA,R,RepJohnJoyce
308,house,"Kamlager-Dove, Sydney",https://twitter.com/RepKamlagerDove,CA,D,RepKamlagerDove
