,profile_image_url,username,verified,created_at,protected,url,public_metrics,entities,id,description,name,location,pinned_tweet_id
6,https://pbs.twimg.com/profile_images/677589152456544256/AJ5i2xqW_normal.jpg,USRepKeating,True,2011-01-01T23:58:47.000Z,False,https://t.co/A9veUNIo4n,"{'followers_count': 24580, 'following_count': 640, 'tweet_count': 2380, 'listed_count': 1002}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/A9veUNIo4n', 'expanded_url': 'http://keating.house.gov/', 'display_url': 'keating.house.gov'}]}}",232992031,Official Twitter page. Proudly representing the 9th Congressional District of Massachusetts.,Congressman Bill Keating,"Bourne, Massachusetts",
7,https://pbs.twimg.com/profile_images/1154154723202818048/vp1Y9-fs_normal.jpg,RepFredKeller,True,2019-06-05T00:02:47.000Z,False,https://t.co/jDStXY52kP,"{'followers_count': 16503, 'following_count': 712, 'tweet_count': 4079, 'listed_count': 371}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jDStXY52kP', 'expanded_url': 'https://keller.house.gov/', 'display_url': 'keller.house.gov'}]}}",1136060761422405633,Former Congressman representing PA-12.,Congressman Fred Keller,PA-12,1600984777191936000
8,https://pbs.twimg.com/profile_images/2824224425/e2df92c97dc465f3c97327fc1342c38e_normal.jpeg,MikeKellyPA,True,2012-11-08T20:31:21.000Z,False,https://t.co/euXC4Yy1aR,"{'followers_count': 28952, 'following_count': 1409, 'tweet_count': 4174, 'listed_count': 909}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/euXC4Yy1aR', 'expanded_url': 'http://kelly.house.gov', 'display_url': 'kelly.house.gov'}]}, 'description': {'hashtags': [{'start': 90, 'end': 95, 'tag': 'PA16'}]}}",935368364,U.S. Representative Mike Kelly proudly serves the people of Pennsylvania's 16th District (#PA16) and is a member of the House Ways & Means Committee. 🇺🇸🇺🇸,Rep. Mike Kelly,"Washington, DC",
9,https://pbs.twimg.com/profile_images/1559977844289277952/iNFTQ-wq_normal.jpg,RepRobinKelly,True,2013-04-09T19:02:01.000Z,False,https://t.co/K9mGbdcyOW,"{'followers_count': 35471, 'following_count': 10835, 'tweet_count': 7065, 'listed_count': 1020}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/K9mGbdcyOW', 'expanded_url': 'http://robinkelly.house.gov', 'display_url': 'robinkelly.house.gov'}]}, 'description': {'hashtags': [{'start': 37, 'end': 42, 'tag': 'IL02'}], 'mentions': [{'start': 50, 'end': 65, 'username': 'EnergyCommerce'}, {'start': 76, 'end': 87, 'username': 'CBWGCAUCUS'}, {'start': 99, 'end': 114, 'username': 'TheBlackCaucus'}]}}",1339931490,"Official Twitter for Rep Robin Kelly #IL02 Member @EnergyCommerce, Co-Chair @CBWGCAUCUS & Chair of @TheBlackCaucus Health Braintrust",Robin Kelly,,
10,https://pbs.twimg.com/profile_images/1215315784903352320/GgqL5x8j_normal.jpg,RepTrentKelly,True,2015-06-10T19:56:03.000Z,False,http://t.co/qE8a4JH0Dl,"{'followers_count': 13949, 'following_count': 3871, 'tweet_count': 2429, 'listed_count': 490}","{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/qE8a4JH0Dl', 'expanded_url': 'http://trentkelly.house.gov', 'display_url': 'trentkelly.house.gov'}]}}",3317799825,"Proudly serving Mississippi's First Congressional District in the U.S. House of Representatives. 
Rt's & likes ≠ Endorsements",Trent Kelly,,
11,https://pbs.twimg.com/profile_images/1236008748130406400/6RLY4LrX_normal.jpg,RepRoKhanna,True,2017-01-03T15:03:23.000Z,False,https://t.co/eoL2VKAIFZ,"{'followers_count': 121931, 'following_count': 2056, 'tweet_count': 13160, 'listed_count': 1494}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eoL2VKAIFZ', 'expanded_url': 'https://khanna.house.gov/', 'display_url': 'khanna.house.gov'}]}}",816298918468259841,Silicon Valley's CA-17. New economic patriotism & restoring American manufacturing. Pro working families. Ending endless wars. No PAC $. He/Him.,Rep. Ro Khanna,"Silicon Valley, CA",
12,https://pbs.twimg.com/profile_images/1534207049684361220/OHv_ppJq_normal.jpg,RepDanKildee,True,2012-12-29T15:05:47.000Z,False,https://t.co/jqCM3isCUp,"{'followers_count': 51457, 'following_count': 1275, 'tweet_count': 9804, 'listed_count': 1199}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jqCM3isCUp', 'expanded_url': 'http://www.dankildee.house.gov', 'display_url': 'dankildee.house.gov'}]}}",1045110018,"Honored to represent mid-Michigan in Congress. Born & raised in Flint. Proud husband, father & grandfather.",Rep. Dan Kildee,Michigan,
13,https://pbs.twimg.com/profile_images/1184144961215840256/4YG5c1Yf_normal.jpg,RepDerekKilmer,True,2013-01-03T22:15:02.000Z,False,https://t.co/Ibjc99m325,"{'followers_count': 31296, 'following_count': 488, 'tweet_count': 8119, 'listed_count': 924}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Ibjc99m325', 'expanded_url': 'http://kilmer.house.gov/', 'display_url': 'kilmer.house.gov'}]}, 'description': {'mentions': [{'start': 95, 'end': 107, 'username': 'AppropsDems'}, {'start': 109, 'end': 123, 'username': 'HouseAdm_Dems'}, {'start': 139, 'end': 155, 'username': 'NewDemCoalition'}]}}",1058917562,"Proudly Representing Washington's 6th District in the U.S. House of Representatives; Member of @AppropsDems, @HouseAdm_Dems; Vice Chair of @NewDemCoalition",Rep. Derek Kilmer,,
14,https://pbs.twimg.com/profile_images/1526285860471296001/I5RoCjsb_normal.jpg,RepAndyKimNJ,True,2018-12-28T21:57:06.000Z,False,https://t.co/bXg6lJPC2h,"{'followers_count': 38377, 'following_count': 483, 'tweet_count': 3814, 'listed_count': 627}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/bXg6lJPC2h', 'expanded_url': 'http://kim.house.gov', 'display_url': 'kim.house.gov'}]}}",1078771848882593793,Husband to my college sweetheart. Father to two troublemaking baby boys. Congressman for New Jersey's Third District. All tweets from Congressman Kim signed –AK,The Office of Congressman Andy Kim,"Moorestown, NJ",
15,https://pbs.twimg.com/profile_images/1456394579310219264/PlwX0GpS_normal.jpg,RepYoungKim,True,2020-12-31T16:11:29.000Z,False,https://t.co/KClM42E5CO,"{'followers_count': 28213, 'following_count': 756, 'tweet_count': 3872, 'listed_count': 371}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/KClM42E5CO', 'expanded_url': 'https://www.facebook.com/RepYoungKim', 'display_url': 'facebook.com/RepYoungKim'}]}, 'description': {'hashtags': [{'start': 93, 'end': 98, 'tag': 'CA40'}]}}",1344677401465397249,"Wife, mother, grandmother, small business owner, former CA Assemblywoman. Proud to represent #CA40 & fight for the American dream 🇺🇸",Young Kim,"Anaheim Hills, CA",
